scenario,repeat,n_train,slope_comparator_train_error,volatility_comparator_train_error,ar_comparator_train_error,slope_comparator_test_error,volatility_comparator_test_error,ar_comparator_test_error,oracle_comparator,oracle_comparator_test_error,selector_comparator,selector_train_error,selector_test_error,selector_oracle_excess,common_head_train_error,common_head_test_error,common_head_generalization_gap,common_head_abs_generalization_gap,common_head_oracle_excess,common_head_train_auc,common_head_test_auc,ar_phi_alt,mixed_ar_phi,mixed_family_probability
slope,36,500,0.028,0.034,0.364,0.02575,0.0375,0.39325,slope,0.02575,slope,0.028,0.02575,0.0,0.016,0.022,0.0059999999999999,0.0059999999999999,-0.00375,0.9976,0.9969365,1.1,1.1,0.3333333333333333
slope,36,1000,0.026,0.031,0.377,0.02575,0.0375,0.39325,slope,0.02575,slope,0.026,0.02575,0.0,0.01,0.019,0.009,0.009,-0.0067499999999999,0.998608,0.99702975,1.1,1.1,0.3333333333333333
slope,37,200,0.02,0.03,0.365,0.01925,0.03275,0.3915,slope,0.01925,slope,0.02,0.01925,0.0,0.015,0.014,-0.0009999999999999,0.0009999999999999,-0.0052499999999999,0.996,0.9974385,1.1,1.1,0.3333333333333333
slope,37,500,0.02,0.028,0.36,0.01925,0.03275,0.3915,slope,0.01925,slope,0.02,0.01925,0.0,0.014,0.01075,-0.00325,0.00325,-0.0085,0.995904,0.9973185,1.1,1.1,0.3333333333333333
slope,37,1000,0.017,0.029,0.374,0.01925,0.03275,0.3915,slope,0.01925,slope,0.017,0.01925,0.0,0.009,0.01075,0.0017499999999999,0.0017499999999999,-0.0085,0.997948,0.9973515,1.1,1.1,0.3333333333333333
slope,38,200,0.04,0.065,0.435,0.024,0.03275,0.38025,slope,0.024,slope,0.04,0.024,0.0,0.0,0.0175,0.0175,0.0175,-0.0064999999999999,1.0,0.993825375,1.1,1.1,0.3333333333333333
slope,38,500,0.024,0.034,0.414,0.024,0.03275,0.38025,slope,0.024,slope,0.024,0.024,0.0,0.006,0.0155,0.0095,0.0095,-0.0085,0.999696,0.9983325,1.1,1.1,0.3333333333333333
slope,38,1000,0.027,0.034,0.388,0.024,0.03275,0.38025,slope,0.024,slope,0.027,0.024,0.0,0.011,0.01375,0.00275,0.00275,-0.01025,0.998436,0.998395,1.1,1.1,0.3333333333333333
slope,39,200,0.04,0.045,0.385,0.0215,0.032,0.382,slope,0.0215,slope,0.04,0.0215,0.0,0.005,0.01175,0.00675,0.00675,-0.0097499999999999,0.9935,0.99759325,1.1,1.1,0.3333333333333333
slope,39,500,0.026,0.042,0.396,0.0215,0.032,0.382,slope,0.0215,slope,0.026,0.0215,0.0,0.02,0.012,-0.008,0.008,-0.0094999999999999,0.995712,0.99733675,1.1,1.1,0.3333333333333333
slope,39,1000,0.024,0.041,0.406,0.0215,0.032,0.382,slope,0.0215,slope,0.024,0.0215,0.0,0.015,0.01175,-0.0032499999999999,0.0032499999999999,-0.0097499999999999,0.997696,0.99726375,1.1,1.1,0.3333333333333333
slope,40,200,0.03,0.025,0.39,0.022,0.0275,0.38875,slope,0.022,volatility,0.025,0.0275,0.0055,0.0,0.01775,0.01775,0.01775,-0.00425,1.0,0.988723625,1.1,1.1,0.3333333333333333
slope,40,500,0.026,0.03,0.386,0.022,0.0275,0.38875,slope,0.022,slope,0.026,0.022,0.0,0.01,0.01275,0.0027499999999999,0.0027499999999999,-0.00925,0.997072,0.9967185,1.1,1.1,0.3333333333333333
slope,40,1000,0.033,0.028,0.385,0.022,0.0275,0.38875,slope,0.022,volatility,0.028,0.0275,0.0055,0.011,0.011,0.0,0.0,-0.011,0.996748,0.9970835,1.1,1.1,0.3333333333333333
slope,41,200,0.04,0.03,0.37,0.0245,0.03,0.3835,slope,0.0245,volatility,0.03,0.03,0.0054999999999999,0.02,0.02,0.0,0.0,-0.0045,0.9995,0.996534,1.1,1.1,0.3333333333333333
slope,41,500,0.028,0.028,0.374,0.0245,0.03,0.3835,slope,0.0245,slope,0.028,0.0245,0.0,0.014,0.0145,0.0005,0.0005,-0.01,0.9984,0.997332,1.1,1.1,0.3333333333333333
slope,41,1000,0.026,0.025,0.373,0.0245,0.03,0.3835,slope,0.0245,volatility,0.025,0.03,0.0054999999999999,0.01,0.01425,0.00425,0.00425,-0.01025,0.99864,0.99730625,1.1,1.1,0.3333333333333333
